Delhi,Sikkim
85.8,2.0
85.5,1.9
83.5,1.7
79.2,2.0
76.6,2.0
71.1,1.5
69.0,1.6
89.2,1.1
92.8,1.1
79.5,0.8
92.6,1.0
89.4,1.0
82.2,0.9
77.8,0.7
111.8,0.7
115.6,0.8
117.9,0.8
121.9,0.9
121.7,0.9
112.2,0.8
108.0,0.6
109.3,1.1
111.9,1.2
114.2,0.9
112.7,1.2
105.0,1.3
100.5,1.1
96.4,1.0
41.8,1.1
43.1,1.2
42.9,1.3
44.9,1.1
43.8,1.0
43.5,1.3
44.1,1.2
60.3,0.7
63.2,0.7
68.4,0.9
67.6,1.1
69.0,1.2
64.8,1.2
61.2,1.1
71.8,1.3
71.7,1.5
72.7,1.6
71.6,1.5
71.3,1.5
69.2,1.4
67.0,1.2
111.8,1.3
114.9,1.3
121.6,1.1
128.1,1.0
131.6,1.2
132.2,1.2
132.7,0.9
69.0,2.1
72.1,2.2
71.8,2.2
71.1,2.0
73.0,2.0
68.0,2.1
67.3,1.9
111.7,0.8
121.6,0.9
128.0,0.9
132.7,1.0
132.6,1.0
129.7,0.9
113.9,0.6
57.8,1.1
51.2,1.4
58.4,1.3
63.0,1.3
66.1,1.3
69.6,1.0
68.3,1.3
62.5,1.5
63.5,1.6
62.6,1.6
62.4,1.6
63.5,1.5
60.4,1.4
57.2,1.2
61.7,1.3
64.3,1.5
65.9,1.5
67.4,1.4
71.8,1.3
73.9,1.3
69.1,0.8
61.4,1.2
64.1,1.3
66.1,1.6
66.1,1.2
65.4,1.4
63.0,1.5
60.2,1.3
123.2,1.2
126.1,1.1
135.1,1.2
135.2,1.3
133.5,1.3
136.7,1.2
136.0,1.0
63.9,1.4
63.6,1.6
63.8,1.7
62.5,1.5
63.8,1.6
60.3,1.6
57.9,1.3
74.2,1.9
76.9,2.0
76.9,2.0
79.2,2.2
82.0,2.1
80.4,2.1
78.0,1.9
98.5,1.0
99.3,0.9
102.4,1.0
102.6,1.0
100.9,1.0
94.6,1.2
84.7,1.2
116.6,1.3
129.0,1.2
130.4,1.2
115.2,0.9
109.3,0.9
100.7,0.8
98.9,0.5
91.9,1.2
99.3,1.3
106.7,1.4
111.4,1.4
109.7,1.2
103.2,1.2
98.7,1.0
46.1,1.0
48.7,1.4
46.0,1.5
46.1,1.4
44.1,1.3
44.4,1.3
42.4,1.3
78.4,0.9
75.9,1.1
74.2,1.1
75.9,1.2
76.0,1.2
69.1,1.0
60.8,0.8
67.9,1.3
67.7,1.7
70.8,1.4
70.4,1.3
72.5,1.4
58.6,1.2
63.7,1.1
102.8,1.1
110.8,1.1
114.0,1.0
114.5,1.1
105.5,1.1
109.2,1.2
99.9,1.1
77.7,1.8
75.9,1.9
76.6,1.9
75.0,2.1
76.0,2.7
71.4,2.8
60.3,2.1
103.8,0.9
110.9,1.0
117.8,1.0
115.7,0.8
117.0,0.7
110.1,0.8
102.1,0.6
57.8,1.0
59.9,1.3
56.8,1.3
58.6,1.4
59.9,1.5
59.5,1.5
62.2,1.4
61.5,1.3
62.6,1.5
63.6,1.4
63.4,1.8
64.0,1.9
60.4,1.9
58.0,1.2
61.6,0.9
61.7,1.1
60.1,1.2
46.1,1.0
54.4,1.2
57.9,1.2
58.2,1.1
64.2,1.5
65.0,1.5
65.3,1.0
65.0,1.4
65.6,1.6
61.1,1.6
59.2,1.1
114.8,1.2
99.3,1.2
106.4,1.3
112.0,1.3
122.7,1.3
118.5,1.3
121.0,1.0
75.7,0.9
78.7,1.3
81.3,1.2
82.3,1.2
84.8,1.1
91.7,1.3
95.2,1.3
62.6,1.8
64.0,1.8
65.1,1.9
63.6,1.8
64.3,1.8
60.7,1.7
59.4,1.4
67.6,1.7
70.2,1.8
70.2,1.8
73.2,1.9
74.8,1.9
70.7,1.9
70.0,1.7
124.6,1.0
125.1,1.1
121.0,1.2
113.9,1.1
113.4,1.0
108.1,1.1
94.0,0.8
59.2,1.4
60.2,1.4
60.7,1.4
60.6,1.4
63.4,1.3
59.1,1.4
118.5,0.7
108.0,0.5
91.6,1.0
100.6,1.2
108.6,1.5
111.1,1.2
105.6,1.0
97.2,1.2
89.2,1.2
73.7,1.0
74.4,1.1
75.2,1.0
78.7,1.2
79.2,1.0
85.8,0.8
86.0,0.9
88.3,0.8
87.9,0.9
86.4,0.9
80.7,0.9
75.3,0.8
68.9,1.6
72.2,1.3
72.3,1.4
72.2,1.4
73.9,1.4
66.2,1.3
64.6,1.1
110.5,1.1
106.0,1.2
102.7,1.1
101.8,0.9
100.9,1.1
88.4,1.1
89.8,1.0
74.9,2.1
74.9,1.9
75.4,1.9
76.4,1.9
77.3,2.0
73.3,1.2
71.7,1.6
115.5,0.8
117.8,0.8
113.9,0.7
98.7,0.5
107.7,0.8
99.2,0.9
89.1,0.6
52.4,0.9
56.4,1.2
60.8,1.2
62.8,1.3
63.0,1.2
65.2,1.2
62.1,1.1
63.2,1.2
59.9,1.3
62.0,1.5
63.2,1.4
60.6,1.3
60.4,1.4
58.5,1.1
61.2,1.5
61.4,1.4
62.2,1.3
61.4,1.3
64.2,1.1
59.4,1.2
57.5,1.1
66.8,1.2
67.1,1.3
66.5,1.4
67.0,1.4
68.5,1.5
64.9,1.3
